Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-19,"I sit back down in the chair and not 30 seconds later he walks back in with the man I mentioned earlier.  He introduces him, This is who the tabloids believe is my designing competition  but in actuality  he is my head designer here under a different name.""""",Content Discussion,8.11.2020 12:50,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-17,"As I think of his design perspective, I think of different ways to get out of the room. A doorknob....too boring. A swinging door...too minimalistic. A voice activated door...very intriguing. The opportunities are endless as you start to imagine the ways a designer might also design an exit.",Content Discussion,8.11.2020 17:54,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-13,"Could this be some kind of test""  I thought as I inspected the door for a way to unlock it. There had to be some sort of hidden trigger. Just as I was about to give up  he returned. He came into the room and tossed a bag on the table. ""This is one of Zach's designs. Tell me three things that are wrong with it  he demanded.",Content Discussion,8.11.2020 19:30,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-15,"Just then, Maier enters the room carrying a box of Zac Posen's newest designs.",Content Discussion,9.11.2020 08:24,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-17,"After a long while, he returns. Have you seen the error of your ways yet?"" he says. ""Excuse me?"" I reply. ""I left you waiting here to clear the negative energy you created by speaking that man's name directly to me."" he says. ""Now  don't ever mention that hack to me again  and we will get along swimmingly.""""",Content Discussion,9.11.2020 20:56,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-14,"I walked back over to the window as the foot traffic in Milan picked up for the afternoon walk home.  It must be near 5 o'clock  I thought with a far off stare.  Just then the  said  tell me...which dress is designed by me Maier in his German accent, I assume you've done your homework.  Since you are now a student of both of ours sound of a deadbolt turning jolted me back to reality.  In walked Maier, with 2 dresses. Well  and which is designed by Zac Posen  and why?""",Content Discussion,9.11.2020 21:23,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,[it looks like we have to different threads here--,General Comment,9.11.2020 23:59,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,do we want to go with him coming back to test us about Zac Posen or do we want to go with him and Zac Posen secretly working together?],Content Question,9.11.2020 23:59,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,[are we supposed to be writing endings or just discussing potential ones?],Instruction Question,9.11.2020 23:59,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,"This was too easy. Clearly the black dress with pockets is yours  and the dress with scales stitched to the bottom is his. Zac Posen is all flash and no substance.""""",Content Discussion,10.11.2020 00:03,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-11,[I feel like our main character needs more of a struggle. What are they hoping to gain from the encounter? And how does the designer's attitude get in the way of that?],Content Question,10.11.2020 00:05,false,8
DigStorytelling P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,dig-20,The protagonist realizes that he needs more color in his life and creates neon shoes to contrast with his bag.,Content Discussion,10.11.2020 13:25,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-09,"The reporter continues to pull at the door, panic starting to set in. They turn around to lean against the door, frustrated at being locked in the room, and the door swings open. It was a push door, not a pull.",Content Discussion,28.10.2020 19:20,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-15,"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.",General Comment,28.10.2020 19:54,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-15,"The hardest thing of all is to find a black cat in a dark room, especially if there is no cat.",General Comment,28.10.2020 19:55,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-15,The man who moves a mountain begins by carrying away small stones.,General Comment,28.10.2020 19:56,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-15,Music produces a kind of pleasure which human nature cannot do without.,General Comment,28.10.2020 19:57,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-16,"As the door opens behind him, the reporter stumbles back, barely able to stop himself falling. Relieved to be out of the room, he turns around and sees Tomas Maier, standing with arms folded and a smile on his face. Maier claps his hands, slowly. Bravo my friend! Somehow you deduced the deception in my door handle affordance. Follow me!""""",Content Discussion,31.10.2020 21:53,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-14,"The door opens to nothing- nothing at all, but air. The reporter falls back against the door, repelled by the vapid void yawning out into infinity: the stupefying horror of perpetual white space.",Content Discussion,1.11.2020 11:07,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-17,"The reporter continues in his attempt to fumble with the stubborn door latch and before long he bends down, eye level with the indented space and spots Maier sitting in a chair in the corridor, legs crossed and making eye contact with him. Perhaps ignore the latch altogether. Just because a feature is present does not always make it necessary""  he says. The reporter returns the latch to it's original position and slightly pushes the door ajar.""",Content Discussion,1.11.2020 18:14,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-14,"Noticing the door was locked, the reporter takes a seat again awaiting the return of the designer. After awhile, he tries the door again more urgently. It is then that he notices the small depression under the latch that allows it to be opened. The reporter follows the only avenue available which leads him back to the entrance.",Content Discussion,2.11.2020 10:05,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-12,"I chuckled to myself. Designers are not only eccentric  but also paranoid."" I moved again toward the window to gaze at the streets below.  Such a deep gloom in the heavy air outside... ""Strange  I murmured. It wasn't raining when I came in..."" I glanced again at the streets... something was strange about the movement below. I watched carefully for a few minutes... A cab  the man with the green umbrella  the woman and man hurrying through the rain... and then the green umbrella man again.. ""Aha!"" I said ",Content Discussion,2.11.2020 14:05,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-12,"t""",Incomplete/Typo,2.11.2020 14:05,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-12,"to myself in satisfaction, Just like in The Truman Show... there's that dented Beetle!"" I quickly deduced that the ""window"" was actually a large screen replaying a loop of video. But why? Was it simply for aesthetics? Was it for ambience? Security? Tomas was eccentric  yes  but also a minimalist. Such a large screen had to serve a purpose beside decoration. And then I realized that if I wanted to understand the genius behind""",Content Discussion,2.11.2020 14:06,false,8
EDF6284 P1,264,"What happens next?  ...and please tie it to design, in some way.",Book Club One,edf-12,"Maier, I had to understand the purpose of the screen.",Content Discussion,2.11.2020 14:07,false,8
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-24,"I think the story is supposed to be a 'it's up to interpretation' kind of ending, but in a way that purposefully leads you to believe that she sends him to the tiger. But that feels like such a shallow stereotype of a jealous woman. The story talks a lot about how they understand each other fully, without needing to speak, so I thought that she pointed him toward the door with the woman (her sacrifice, letting him be happy without her), but he knew that and purposefully chose the tiger (his sacrifice, not ",Content Discussion,22.10.2020 11:14,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-24,w,Incomplete/Typo,22.10.2020 11:14,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-18,Part 1  I believe that the tiger is behind the door.  I think the princess is barbaric and can't stand the thought of her lover with another.,Content Discussion,31.10.2020 12:37,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-18,Part 1  I believe the tiger will be behind the door.  I think the princess is barbaric and won't be able to stand her lover with another.,Content Discussion,31.10.2020 12:38,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-18,Part 2  I believe that the king will punish his daughter.  I'm not sure how.  I think it depends on whether the tiger or the woman comes out of the door.  Perhaps he might even make her choose a door.,Content Discussion,31.10.2020 12:39,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-26,"Part 1: If she loves him, the princess will lead her lover to the door that will allow him to live. If she allows greed and envy to cloud her judgement, she will likely lead her lover to his death.",Content Discussion,2.11.2020 03:19,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-26,"Part 2: If the King is unbiased, he will treat her like any other person who had broken the law.",Content Discussion,2.11.2020 03:22,false,9
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,I think she sends him to to the tiger. She could live with his death but not with him living with another woman.,Content Discussion,19.10.2020 23:39,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-16,I totally agree.,Response,20.10.2020 10:33,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-16, I think she sends him to the tiger. Its clear she had jealousy issues and she was raised by a father that is erratic and delivers justice according to a whim. I dont think she would think reasonably.,Content Discussion,20.10.2020 10:33,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-16,"As for part 2 of the question...I think the father upon finding out what the daughter had done would totally subvert the natural order of things and not have her go through the process of justice that others do. He would be furious with her and would punish her in some way but, not by putting her in the arena. I dont think he could cope with her dying by the tiger or being forced to marry a person below her royal status.",Content Discussion,20.10.2020 10:36,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,"I agree, ",Response,21.10.2020 02:56,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.,Content Discussion,21.10.2020 02:56,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-16,I think he would be upset...even just for the fact that her behavior is a bad reflection on him. He sounds very narcissistic so I dont know if he would feel real love for his daughter but her behavior and a public trial would bruise his ego. That in itself would be enough for him to brush her crimes under the carpet.,Content Discussion,21.10.2020 07:49,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,That's true -,Response,21.10.2020 08:09,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30, but maybe he's the only one who knows what she did?,Content Question,21.10.2020 08:09,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-21,"Part 1: What Happens next...I believe in love overall.  I believe she chose to love him by giving him life and happiness.  This is what love truly is.  The story describes her as jovial.  Although her father appears quite selfish, he adores her which means she has seen true love.  So, out comes the lady.",Content Discussion,21.10.2020 20:38,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-21,"I agree with Anne Marie and Rachel, ",Response,21.10.2020 20:41,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-21,"despite the consistent behavior and system of punishment, I do not think the king would send his daughter to the arena. The story tells us that she is the apple of his eye  and that she is above all what his heart cares for.  I do not think he could bear losing her or watching her give love to anyone but him.  I fear the father would punish her by keeping her with him for the rest of her life.  Going to the arena would be too much punishment for him.",Content Discussion,21.10.2020 20:41,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-20,"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has ",Content Discussion,22.10.2020 08:14,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-20,acce,Incomplete/Typo,22.10.2020 08:14,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,"Maybe I'm a skeptic, but I'm not convinced she sends him on to live his happily ever after with another woman.  There's a whole paragraph on the last page about how the whole idea of that tormented here. And she asks Would it not be better for him to die at once  and go to wait for her in the blessed regions of semi-barbaric futurity?""",Content Discussion,22.10.2020 23:56,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,I still think she sent him to the tiger!,Content Discussion,22.10.2020 23:56,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,...,Emoticon/Non-verbal,23.10.2020 10:50,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,...,Emoticon/Non-verbal,23.10.2020 10:50,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-30,...,Emoticon/Non-verbal,23.10.2020 10:50,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-22,"Part 1
I believe that the lady will be behind the doors. I think that the Princess loved her lover too much to allow him to be eaten by the Tiger. She would rather see him out and about the kingdom happy with someone else then torn into pieces by the tiger.  However, I am a divorced mom of two kids and my interpretation might be a little off, since I always wanted and are still looking for that fairy tale kind of ending. The one where true love exists no matter what the couple faces.

Part 2
I believe that",Content Discussion,28.10.2020 22:13,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-22,"Part 2
I believe that when the King discovers that his daughter had broken the law by finding out what was behind the door and then signaling to her lover which one to open, he would be in infuriated. The story stated that he was extremely close to the Princess and resented her se ret relationship.  I believe that if the Princess saved her lover from the tiger, he would retry him and put a tiger behind both doors. The Story stated that the King was barbaric in nature so I feel he would make the Princess ",Content Discussion,28.10.2020 22:15,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-22,att,Incomplete/Typo,28.10.2020 22:15,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-25,I believe she sent him to the tiger.  A king's daughter would not want to share a lover or see him with another woman.,Content Discussion,31.10.2020 16:12,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-25,Part 2:  I don't think the King will do anything to the Princess.  He knows both choices would be punishment for her and her lover.,Content Discussion,31.10.2020 16:14,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-25,"In addition, I was surprised the lover so quickly chose the right door after the princess signaled him.  He was willing to accept the fate that she chose.  I wonder if he knew what her choice would be.  I still don't think she would allow him to marry another, although that would be the choice I would make if I was in her shoes.",Content Discussion,31.10.2020 23:25,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-26,"I found myself conflicted for the princess. I always want a happy ending of some kind in the stories I read. However, it seems the princess loses either way in this story. If I were in her place, I would have allowed him to marry the woman rather than have him die a painful and bloody death.",Content Discussion,2.11.2020 22:48,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-26,"As for the King, he will likely send his daughter to face the same punishment as her lover. As a King, he should treat all lawbreaking the same. However, I wonder if he will crack and pull the same trick that the princess had with her lover or if he will remain firm with his decision.",Content Discussion,2.11.2020 22:56,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-23,"Part 1: I think that she guided him to the tiger. She was already jealous, and if she couldn't have him, then no one should.",Content Discussion,10.11.2020 20:29,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-23,"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either.",Content Discussion,10.11.2020 20:33,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-23,I completely agree with you,Response,10.11.2020 20:37,false,10
PIM P1,261,"Part 1: What happens next? What is behind the door, the lady of the tiger?  Part 2: Later, the King discovers that his daughter had broken the law, by first finding out what was behind the doors and then signaling to her lover which door to open. What does the king do, and what happens?",Book Club One,pim-23, in being conflicted by happily ever after and greed. I chose the tiger behind the door because the story paints her out to be extremely jealous and barbaric.,Content Discussion,10.11.2020 20:37,false,10
DigStorytelling P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-07,"The article relates to the design perspective by discussing design elements and theories throughout  the years, as well as the future goals of design.",Content Discussion,20.11.2020 12:55,false,11
DigStorytelling P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-07,Prototypes should take into account sustainability and the potential effects on the environment to ensure a resilient future.,Content Discussion,20.11.2020 12:58,false,11
DigStorytelling P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-06,The article relates to the design perspective because design is about considering the future and how we can make our lives better. Sustainability should definitely be considered and ways to help the environment.,Content Discussion,20.11.2020 13:17,false,11
DigStorytelling P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-09,"Design is all around us. Everywhere we go, everything we own, everything we see was in a design stage at one point. As far as what the future will hold for our planet, design steps are being taken now as we have all had to adjust to a new norm. We've designed ways to social distance. Prototypes should always be welcomed, as long as they benefit us AND the environment as we have seen that we must make some changes for a better future, a better planet.",Content Discussion,20.11.2020 17:47,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-11,"1. This article?s content relates to the design perspective because it is noticeably a form of planning. It is a way to look at something and decide whether something can be used or not. In this article, the topic of design reached out to technological creation and innovation, the natural land and it?s growth, energy use, and how these all play a role with one another. The article also mentions that design, even with planning, can have consequences which is why we need to continue to design and plan so ",Content Discussion,18.11.2020 12:23,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-11,"that we, after looking at those past designs, can create something sustainable that will help nature thrive as well as those that use it.",Content Discussion,18.11.2020 12:23,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-11,"2. When it comes to a resilient future, we must inherently think about survival for all and how human designs are going to affect the land and the animals that live there, which will ultimately affect us in the long run.",Content Discussion,18.11.2020 12:24,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-11,"According to this article, the types of porotypes that we need are for food growth, energy use, housing/living, and something that will help deal with climate control and reduce carbon emissions.",Content Discussion,18.11.2020 12:24,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-04,"Design is integral to all aspects of our daily lives. The ways we live and work impact our environment and the environment impacts the ways we live and work. Traditional approaches to design have not put the needs of our environment at the forefront. Ease of living and style have been the focus of designers, often sacrificing sustainability. This must change.",Content Discussion,18.11.2020 12:24,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-08,"Design is more important than most people realize. Every sort of routine in our lives comes from some sort of design. The article frequently relates to the COVID19 pandemic and how the design of our lives has shifted to stop the spread of a terrible sickness. For example, in the line at the grocery store, there are circles to stand on to make sure we stay 6 feet apart, at work we have Plexiglas barriers, restaurants have expanded and innovated their outside seating options. Design is constant changing based",Content Discussion,18.11.2020 22:47,false,11
