Response_Number,Grader_1_,Grader_2,Grader_3,Average,Collab_Response
41,0,0,0,0,<Nothing>
45,0,0,0,0,<Nothing>
61,0,0,0,0,content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?
52,,2,3,25,"After another hour of wandering the uninteresting minimalist room, he decided to try the door again, still with no luck. He continued to place his fingers in the depressions of the heavy stainless door and pull, pull, pull. The door did not budge an inch. Finally, after another hour and more pulling at the door, he frustratedly kicked at the door. It swung open easily. An instance of dealing with nonintuitive design! The handle design said, ""pull me,"" but the door required that you push it to open it from that side."
43,1,2,,15,"The article relates to design perspective because it describes how the different things happening relate and interact within a community and environment.
Prototypes that have the ability to improve how we live would help to create a more resilient future. We are going to need to create structures that can support the changing climate and weather.
I completely agree with your response for part 1 and 2. The article talks about how design is connected/impacted/related to what is happening around us. Prototypes such as multi-functional buildings/spaces should be concerned for a resilient future.
"
53,2,2,,2,"I paced around the room some more hoping to find some clue of how to get out of here, or at the very least a way to communicate with someone. The minimal aesthetic left me empty and void of ideas. The painting on the wall stared back at me. It's Arctic lanscape was as minimal as the room and as cold as Tomas. Staring more at the Artic wastland in front of me, the details that hid themselves started to ignite ideas of how to escape this room. Even though they were hidden, the details were there the whole time in the painting, I just needed to recognize them. What details am I missing within this room that I occupy? Are these the key to my escape? Minimalistic the aesthtics may be, but lacking in design they are not."
14,3,2,,25,"A feeling of panic washed over me. Perhaps my mention of Zac Posen set him off? They don't exactly share the same ideologies when it comes to design. I look around the sleek room and notice a small button that blends into the wall. I take a step forward to examine it more closely. As I reach forward to touch it, I lose my balance and press it instead. A panel in the wall slides open like a secret door in a sci-fi film. Peeking through, I see a room exactly like the one I had just vacated, complete with another button on the opposite wall. I continue forward and there is room upon room of emptiness until finally, the last button is glowing. I look around and wonder if I'm truly supposed to be here and then press the final button. This final room is brightly light with drawers and hanging rails lining the walls. Sitting on an ottoman in the middle of the enormous closet is Tomas Maier. He stands and spreads his hands, ""Do you understand now?"""
15,,3,2,25,"Hi Mercedes. Here are some thoughs on ""What happens next"":
Thoughts on what happens next: Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out! Did I offend him? He left right after I mentioned Zac Posen. Maybe he hates Zac Posen - or Target!? Who knows, this guy is an enigma.
Just then, Maier walked back in - with none other than Zac Posen himself. ""I believe you two have met?"" he said dryly. ""Hey, nice to see you again,"" said Posen. ""Mr. Posen,"" I started. ""Please, call me Zac."" ""Zac,"" I said. ""What a suprise. Not to see you in Milan during Fashion Week, of course, but in this rather bizarre, fortress-like setting,"" I said, raising an eyebrow at Maier.
""Oh, yes, sorry about that,"" said Maier. ""Couldn't be helped. The label is quite secretive about our new coloboration."" ""New colaboration?"" I asked. ""Yeah,"" said Posen. ""We're working together on a new sustainable clothing collection.""
""Very hush, hush,"" said Maier. ""It will be debuting this week. I trust that in return for an exclusive we can rely on you to keep our secret until after the runway on Thursday?""
Two hours later, I left the building with the makings of a piece that would tell of the building of a new brand - an insdier's view from two legends in the industry, and a story that, if I played my cards right, could put me on the map in fashion journalism.
Kim
Kim, I love your take on what happens next.
Mercedes
Great. I'm leaving work now and will log back in at 8:00. Think about if there is anything else you'd like to add or change. I'm certainly open to both. We can talk and then submit.
Honestly, I like where you took to the story. I can see that happening in the fashion industry. Fashion designers rely on journalism to make their products seem exclusive, and then they can charge a hefty price.
OK, sounds great. We can go ahead and submit it.
I'm not sure about the whole ""Send Message"" component. It didn't add all of the text so I will add it below. And then add Submitted to the Send Message
FINAL - SUBMITTED
Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out! Did I offend him? He left right after I mentioned Zac Posen. Maybe he hates Zac Posen - or Target!? Who knows, this guy is an enigma.
Just then, Maier walked back in - with none other than Zac Posen himself. ""I believe you two have met?"" he said dryly. ""Hey, nice to see you again,"" said Posen. ""Mr. Posen,"" I started. ""Please, call me Zac."" ""Zac,"" I said. ""What a suprise. Not to see you in Milan during Fashion Week, of course, but in this rather bizarre, fortress-like setting,"" I said, raising an eyebrow at Maier.
""Oh, yes, sorry about that,"" said Maier. ""Couldn't be helped. The label is quite secretive about our new coloboration."" ""New colaboration?"" I asked. ""Yeah,"" said Posen. ""We're working together on a new sustainable clothing collection.""
""Very hush, hush,"" said Maier. ""It will be debuting this week. I trust that in return for an exclusive we can rely on you to keep our secret until after the runway on Thursday?""
Two hours later, I left the building with the makings of a piece that would tell of the building of a new brand - an insdier's view from two legends in the industry, and a story that, if I played my cards right, could put me on the map in fashion journalism.
Yes!
I also love the mystery of sitting in a minimalistic room, not knowing what is about to happen. ""Did I offend him? Does he not like me?"" And then he gets the story of a lifetime.
The Target thing made me laugh ;)
OK - all submitted. I think there is a second part next week, so maybe we'll be paired up again then!
"
22,,3,4,35,"1. Why does the article content relate to the design perspective?
The article relates to the design perspective because design is always needing to evolve with the world around us. As the pandemic has changed so many aspects of life, design perspective must change along with it.
I agree, the design perspective requires flexibility to accommodate the constantly changing world. The pandemic has changed many aspects of life commanding the design perspective to change along with it.
I found it interesting when a lot of the world was shut down how many cities had cleared of smog and pollution.
Oh, agreed! I found it interesting that although many day-to-day driving stopped and home deliveries skyrocketed, the pollution still lessened.
2. What sort of prototypes should be considered for a resilient future?
Prototypes for the future need to involve both sustainable energies and potentially designs that may reverse the current damages we are doing. With the way things are going, the environment must be a huge factor in considering design for a resilient future.
As far as prototypes that should be considered for a resilient future, I suggest using things such as vertical farming or aquatic farming would be beneficial in helping keep farmland, animals, and non-farming creatures in separated areas.
Those are great examples. I think concepts based on using renewable energies should be considered for all buildings going forward. Solar and wind power abilities automatically built into the design.
"
44,,3,4,35,"Part 1: Design is the idea of planning the future, but how do we design for a troubled planet? Why should we keep planning for a future that does not exist? The article and its subject are designed to send a message about the gradual deterioration of the global environment. They work hard to amplify the warnings that we have been receiving about global warming, litter filling multiple natural biomes (i.e. oceans, forests, etc.), and other environmental problems that we are currently facing. How the article and its subject are received will depend on the public. They both have been thoughtfully been put together, but we as a society have to make changes to ensure our planets survival.
Part 2: According to the article, ""large-scale initiatives"" need to be considered for a resilient future. Right now, we are living in a dystopian design after COVID 19, and now we need to figure out how to survive and make our lives better through design. We should acknowledge that we are a society that is is divided, unjust, prejudice, and unequal in language, geography, and class. The article points out we need to solve over farming and development, so humans are not coming into close contact with animals they should not be around. In an effort to design for comfort, we have destroyed our natural environment. Now, we are looking at design based on infection levels. Design is leaning towards self-sufficiency, private farming, and many people are moving out of the cities. Apartment living with close proximity to neighbors is on a decline.
"
23,4,3,,35,"I work for the Engineering department of Pasco County. We deal a lot with design. Just today, I took a ride out to a jobsite that is building an easier access to the Suncoast Parkway, which ideally...sounds great. However, this road is intersecting with wetlands. Environmentally, this is heartbreaking. We are taking more away from the beautiful Earth we are given. I believe this article relates to design because we are designing the future and planet we are living on for the rest of not only our lives, but for generations to come. I believe prototypes that should be considered is eliminating the need for instant gratification and instead looking at the bigger picture. People need to stop being greedy, and look at what they already have. We don't need more and more buildings. We need to go outside more, and appreciate fresh air while it is still ""fresh"" (depending on where you live). Society needs to eliminate or strongly lessen the use of plastics. Think of how we were given the Earth, and look what we've done to it. Look at the animals we've lost, the environments and habitats we've destroyed due to our own greed. We share land with these animals. We are not more important than them. This all can be seen from the ""design"" perspective. We are designing every day with every choice we make.
This article reminds me of a statistic I saw the other day. The United States census states that 10.1 percent of houses are vacant in 2020. This only accounts for residential dwellings so imagine all the shops and other buildings that sit unused while new structures are being built every day. If we repurpose these empty buildings to fit the needs of our growing society we would find that we have the structures already in place to create adequate housing for all. Rather than building new buildings, we can outfit the ones we have with sustainable energy sources such as solar panels to create a resilient future.
Does anyone have any ideas about how to combine our ideas to create one answer to submit?
"
31,,4,4,4,"Part 1
The story regularly emphasizes the barbaric nature of the princess, and I assume that this emphasis suggests that the princess directs her lover to the tiger's door. It's implying that she would be less selfless and more ruthless. So, as the man reached for the tiger's door the princess exhaled, knowing that she would emerge the victor. Her lover would die and never love another. The lady, who the princess wasn't fond of, was not to have the happy ending either.
Part 2
The king is so enraged by his daughter's defiance that he has no choice but to follow the protocol he had previously established. She opens the door and is met with the same fate as her lover.
"
32,,4,4,4,"Our group is in agreement that due to the princesses' thought process and her semi-barbaric lineage she would most likely send her lover to the door with the tiger. Additionally, she was extremely jealous of the lady behind the door. Surely, a semi-barbaric princess would rather her lover not run into the arms of another woman. Though she must live without him either way, our group feels that she would rather him dead than be with someone else because her concerns were her own jealousy rather than his death.
Our group also feels that the king would not send his precious princess to suffer the judgement of the arena. Thus, he may, instead, send her informant to the arena as a punishment for his betrayal. Another idea that we feel would be best is that this would give the king a great opportunity to discontinue the unfair use of this system. By not sending his daughter to the arena, he may realize the unfairness of his system and thus make a major change that would help progress his kingdom.
"
34,,4,4,4,"Her face was a mask of indifference as the young man moved without hesitation to the door on the right, but pain welled up inside of her as she watched the back of her lover. Had she made the correct choice? Whether or not it was the right one, she had made it and had to live with the consequence.
The door opened and out sprang the vicious beast, flashing claws and glistening fangs unleashed upon the youth she had loved so dearly. She imagined that she was that tiger, shredding his flesh to ribbons as the crowd cheered. All the rage and pain of the last sleepless nights unbound and freed right before her. It made her sick, but this was what she had decided. This was the result her love had come to because of her jealousy and her anger. Yet, he had trusted her.
It was that thought that brought her to turn to her father who was watching her expressions carefully. ""I knew which door the beast was behind,"" she confessed, her pain still masked behind a strong facade. ""I broke the sacred law. I too should be put to trial,"" she said turning her gaze back to the beast that feasted on the bloody carcass of the young man whose blood stained the rough earth.
The King's eyes changed from rapt interest in the scene before him, to dread, then indifference. His usual cold demeanor wavering for only a moment. His own daughter? How could this be? But he knew what must be done. The tradition of the land must be upheld, no matter the cost.
A public notice was released at once. The princess would be held accountable for her egregious actions the following afternoon in the arena, with the whole kingdom in attendance.
The morning of the trial arrived. The King met the princess in her quarters. ""My daughter. For you, I have chosen a most suitable husband. A prince from the neighboring land renowned for his loyalty to the throne and prowess on the battlegrounds. It would be for shame should you not choose the 'right' door,"" he said with a knowing glance. ""We shall meet in the arena at high noon.""
The Princess could hear the jeers of the crowd the the stands above her, all anxious for her judement to come. Would they see their princess swept away in the arms of a lover or ravaged by the ferocious beast? In the next moments, her fate would be decided. Her father would be watching from his throne, a calculating expression upon his face. She knew what she was to do.
Calmly entering the arena, the Princess stood where just yesterday, her lover lay in pieces. The crowd was silent. Glancing over her shoulder, she saw her father seated calmly and staring blankly ahead. With a deep breath, she made her choice.
""I'm coming, my love,"" she whispered to herself, as she walked to the door on the left and the world went dark.
"
62,,4,4,4,"The article content relates to the design perspective as it considers the evolution of what design is understood to encompass. It expands upon the idea of design being merely the arrangement and placement of objects or attention to aesthetic appeal and provides examples that design is a solution and reflection of the world around it. In fact, good design should take into account all aspects of reality and adapt to both the times and environment. In order to prepare us for a resilient future, it is neccessary to take into account the full context and implications of all aspects of the design decision. Prototypes for a resilient future should make a product useful, innovative, and unobstrative, while prioritizing quality and timeless aspects. The aesthetic quality of a product is integral to its usefulness as not only are well-executed objects beautiful, their attributes ensure that they will find a place in the future. I would suggest that to create a resilient prototype, the design should be both neutral and restrainted to leave room for the viewer's self expression and never appear antiquated.
The difficulty in design, which is well defined above, is that it is often difficult to see beyond the ""now"" to know what may be useful and innnovative in the future. Consider designs that were generally scoffed at when they they were invented, but which continue to have a place in this technological age (bicycles, automobiles, nail polish, cheesburgers, talking pictures, answering machines, laptop computers). Also consider the other side of the coin, inventions that were expected to make a huge impact on society, but quietly disappeared and were forgotten (8-track, ThoRadia-radioactive health products, laserdisc, flying tank, segway, windows vista, 3d TV, google glass). In some ways design is akin to gambling, literature, and fine art success is often unpredictable.
We need to be flexible and open-minded to new solutions and ideas. Unpredictablity can only be responded to after the fact. If we embrace innovation and change now, we may be better able to handle more drastic change in the future should things come to that.
"
33,4,4,,4,"Part 1: For this question, our team decided that the princess chose the door with the tiger. This is based on the story's emphasis on the royal family's ""semi barbaric"" nature. In the story, it is mentioned several times that the princess is jealous of the idea of her lover being with another woman, stating ""her soul had burned in agony when he rushed to meet that woman"" (pp. 10). This action seems indicative of her barbaric and jealous nature because this way she remains the conqueror, and if she cannot have him then no one else can either.
Part 2: The king would throw the princess in the arena upon finding out she had broken the law, due to his own barbaric nature and seeming unwillingness to break with tradition, even for his own daughter. This is evidenced from the fact that he already put his daughter's lover in the arena to either be killed or married to another woman, without regard for how the princess feels about it.
The three of us (Rachel Scharbo, Colleen Segers, Erin Jacobs) met over Zoom to discuss these answers on 10/24/2020 and discussed the prompt in order to come up with these answers.
"
