Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,Part 1: It is such an agonizing question of whether the lady or the tiger is behind the door. ,Discussion,3.11.2020 17:38,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,I would hope though,General Comment,3.11.2020 17:38,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,experien,Incomplete/Typo,3.11.2020 17:38,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to ",Discussion,3.11.2020 17:38,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14, The abyss of pain and betrayal of an unfaithful lover and seeing them with someone else is palpable and I could imagine that in the throngs of that deep pain one might wish their unfaithful lover to be dead.,Discussion,3.11.2020 17:38,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,"That's a really insightful point, Gina!",Feedback,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,"but at the same time, as you stated, the princess is herself in a greater trial than the man in that she has to decide whether to kill or not kill her lover who has hurt so deeply.",Discussion,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,I hadn't thought of when I read the piece,General Comment,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,that he sentences the princess to the same trial that he is on. ,Discussion,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, ",Discussion,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Five,pim-14,"^Gina, that is a really interesting point that you make, ",Feedback,3.11.2020 17:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club One,pim-03,Submitted,Logistics,11.11.2020 12:59,No,8
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,"I kind of think that even though she is angry and jealous, she would ultimately save him. ",Discussion,20.10.2020 10:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,"After all, it is a two way road and she is being punished right along with him for getting caught by the king as well.",Discussion,20.10.2020 10:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,I think that overall the weight of her conscious would have kept her from sending him to his death for falling in love with her.,Discussion,20.10.2020 10:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11, I also think that even if the king finds out that she knew the doors he will know that either choice that she makes is a punishment in its own right. She suffers either way ,Discussion,20.10.2020 10:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,w,Incomplete/Typo,20.10.2020 10:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Maybe this was her punishment.,Discussion,20.10.2020 11:04,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Perhaps he planned it so that she would be the one to make the decision in the end as no one has ever known what's behind the doors before,Discussion,20.10.2020 11:04,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,And what if the king already knew that she had broken the law. ,Discussion,20.10.2020 11:04,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,It would be just a thing that this King would do I think.,Discussion,20.10.2020 11:04,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,"Knowing she could save him from death, but still lose him in the end.",Discussion,20.10.2020 11:04,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,So I'm leaning more toward she sends him to the tiger's door.,Discussion,20.10.2020 12:17,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,"Kyra, those are some good thoughts! ",Feedback,20.10.2020 12:17,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12, I think that she may dislike the idea that he marries another more than him dying.,Discussion,20.10.2020 12:17,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,I'm kind of on the fence about whether she saves him or not.,Discussion,20.10.2020 12:17,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,He could know that she knows which door is which and he seems like the type of king to enjoy that punishment,Discussion,20.10.2020 12:19,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,But I do also think that it is possible that the King could be in on it too. ,Discussion,20.10.2020 12:19,No,9
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,"Not what do you think she would do, but what would you do if you were in the situation? ",Question,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,I mean there are other guys out there after all.,Discussion,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,What would you do in her place?,Question,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Emilie I can see that. ,Response,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,I know I wouldn't be able to live with myself if I knew I was the reason the person I loved was killed in such a painful manner,Discussion,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,I think I'd find it easier to move on and live if he was still alive.,Discussion,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11, It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,Discussion,20.10.2020 12:43,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12," Personally, I would save him. ",Discussion,20.10.2020 13:44,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",Discussion,20.10.2020 13:44,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,I agree.,Response,20.10.2020 13:44,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,I would feel guilty for the rest of my life.,Discussion,20.10.2020 13:44,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,I'm sure I would eventually get over him being with someone else,Discussion,20.10.2020 13:45,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,"There are other guys out there so even if he was the most handsome and all that,",Discussion,20.10.2020 13:45,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,And that's true! ,Response,20.10.2020 13:45,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,"I think if I misled him to choose the tiger's door, I would feel like I committed a murder myself",Discussion,20.10.2020 13:46,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,Do we know how many people are part of this group? ,Question,20.10.2020 13:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,I agree with that so much! ,Response,20.10.2020 13:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,But I'm not sure how this princess would think.,Discussion,20.10.2020 13:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-11,We can try to get in touch with them and decide how we wat to write out the answer,Logistics,20.10.2020 13:57,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,"I tried looking for a ""particpants"" button or something and I couldn't find one.",Response,20.10.2020 14:09,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Four,pim-12,I'm not sure! ,Response,20.10.2020 14:09,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04,opportun,Incomplete/Typo,20.10.2020 14:20,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",Discussion,20.10.2020 14:20,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04,that the king's adoration of his daughter would stop him from sending his daughter into the arena.,Discussion,20.10.2020 14:20,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04, that the Princess's barbaric traits will lead the princess to send her lover to his death.,Discussion,20.10.2020 14:20,No,10
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",Book Club Two,pim-04,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",Discussion,20.10.2020 14:20,No,10
