Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page,Response_Number
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,Maybe he hates Zac Posen,Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Who knows, this guy is an enigma.",Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,- or Target!?,Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!",Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,"I believe you two have met?"" he said dryly.",Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,Hey  nice to see you again  said Posen. Mr. Po,Content Discussion,10.11.2020 19:57,No,8,15
DigStorytelling P1,265,"What happens next?  ...and please tie it to design, in some way.",Book Club Five,dig-10,SUBMITTED,Logistics,10.11.2020 19:59,No,8,15
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,It was super interesting!,Content Discussion,21.11.2020 9:54,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Good morning!,Greeting,21.11.2020 9:54,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Going to jot down some thoughts on this messenger,Opening Statement,21.11.2020 9:54,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,. The problem is that designers tend to design towards a future that is better where we have the same resources and less/similar problems. ,Content Discussion,21.11.2020 9:57,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11," As we're faced with climate change and catastrophes causes by this kind of design, designers have to start designing towards a future bent on sustainability.",Content Discussion,21.11.2020 9:57,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,1.) The article discusses the way in which design always looks forward.,Content Discussion,21.11.2020 9:57,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Is it okay if I start combining our answers below,Logistics,21.11.2020 9:58,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,2.) We should consider prototypes that will create a sustainable future in measurable steps that won't leave people in urban areas or people in poverty behind.,Content Discussion,21.11.2020 9:58,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"Yes, I've started putting our thoughts together below",Logistics,21.11.2020 10:01,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"Good morning, Teresa!",Greeting,21.11.2020 10:01,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"Feel free to add your ideas here or below, whichever is easier",Logistics,21.11.2020 10:02,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"...like I think cities are designed to account for overpopulation, but designed aimed towards overpopulation ended up causing other problems",Content Discussion,21.11.2020 10:04,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Sure!,Response,21.11.2020 10:04,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,That's true--,Response,21.11.2020 10:04,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,... no problem!,Response,21.11.2020 10:09,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Can you refresh me on what people in the Amazon are doing?,Content Question,21.11.2020 10:09,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"lol, ...",Emoticon/Non-verbal,21.11.2020 10:09,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Playing Frankenstein with our ideas,General Comment,21.11.2020 10:09,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"This isn't directly in the article, ...",External Material,21.11.2020 10:17,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Do y'all mind if I add that?,Assignment Question,21.11.2020 10:17,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"...but Teresa made me also think that one way to invest in our future is to recruit, support, and mentor designers from marginalized communities with perspectives most mainstream designers don't have. ",External Material,21.11.2020 10:17,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"I like that, Jessica",Feedback,21.11.2020 10:18,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,I think we could add a section on how design towards the future might actually look at ways to use less technology,Content Discussion,21.11.2020 10:18,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Anything else yall want to discuss,Assignment Question,21.11.2020 10:20,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,/add,Assignment Question,21.11.2020 10:20,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,I think we're looking good,General Comment,21.11.2020 10:20,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"Teresa, do we have your approval?",Assignment Question,21.11.2020 10:21,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Me too :),Response,21.11.2020 10:22,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,"Awesome, good work, team!",Response,21.11.2020 10:22,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-11,Thank you! You too <3,Discussion Wrap-up,21.11.2020 10:24,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,Good morning.,Greeting,21.11.2020 9:59,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,I think you are correct about where the article stated city designs are where people are stacked on top of each other.,Response,21.11.2020 9:59,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,Do we want to mention how they are looking at the people who live in the Amazon jungle and looking at how they use their resources?,Content Question,21.11.2020 10:03,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,Awesome.,Response,21.11.2020 10:03,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,You are doing a great job.,Feedback,21.11.2020 10:08,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,"Where “Designs for Different Futures” feels high-tech in its imagination — envisioning, for example, that humans might perhaps one day be cloned from DNA extracted from gum left under park benches —",Content Discussion,21.11.2020 10:14,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,"She studies bridges made from living roots in Meghalaya, India, and advanced canal farming around Lake Titicaca in Peru by the Incan peoples. ",Content Discussion,21.11.2020 10:14,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12," — Lo-TEK imagines that the knowledge of how to survive the future is already embedded in low-energy, often ancient practices.",Content Discussion,21.11.2020 10:14,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,"That was from the urban designer and activist Julia Watson seeks answers from Indigenous peoples around the world, because of their long practice in handling climatological disasters and other unforeseen events.",Content Discussion,21.11.2020 10:15,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,"From the 2019 book “Lo-TEK” (a response to the old architectural and design movement called high-tech, whose most famous example is the 1977 Centre Pompidou in Paris, by Renzo Piano and Richard Rogers, with its facade of exposed metal innards),",Content Discussion,21.11.2020 10:17,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,Awesome.,Response,21.11.2020 10:18,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,... and it looks great.,Feedback,21.11.2020 10:21,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,I think there is a lot of detail ...,Feedback,21.11.2020 10:21,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,It was great to work with the both of you.,Discussion Wrap-up,21.11.2020 10:22,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,"Thank you, you too!",Discussion Wrap-up,21.11.2020 10:23,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-12,Have a good afternoon.,Discussion Wrap-up,21.11.2020 10:23,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"because in a way, the previous design models helped to feed the cause of the COVID pandemic.",Content Discussion, , , ,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,... and then I think we can compose our answer below.,Assignment Instructions, , , ,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,I think we are supposed to chat in the top…,Assignment Instructions,21.11.2020 9:51,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,I am logged into the book/chat.,Opening Statement,21.11.2020 9:51,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,Good morning.,Greeting,21.11.2020 9:51,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,...and then collaborative write our response below.,Assignment Instructions,21.11.2020 9:51,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,This was a very interesting article.,Content Discussion,21.11.2020 9:51,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"Okay, me too …",Response,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,…because I think the article content relates to the design perspective,Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13, As the article stated ...,Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"... city designs where people are stacked on top of each other in small, expensive housing is not sustainable and contributed to the spread of the disease.",Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,...  and contributed to the spread of the disease.,Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,...  expensive housing is not sustainable ...,Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13, I think the article content relates to the design perspective...,Content Discussion,21.11.2020 9:55,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"Good morning, Teresa. ",Greeting,21.11.2020 10:00,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,We started putting our thoughts in the top screen ...,Logistics,21.11.2020 10:00,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,... and I think Maria is adding them to the discussion below.,Logistics,21.11.2020 10:00,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13," If humans continue to spread, then nature will suffer.",Content Discussion,21.11.2020 10:02,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"It is also somewhat of a catch-22 because the more we try to socially distance, the more space we will need. ",Content Discussion,21.11.2020 10:02,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,Design for the future must take into consideration many factors that they may not have previously.,Content Discussion,21.11.2020 10:02,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"Thank you, Maria, for putting our ideas together ...",Response,21.11.2020 10:08,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,...and making them sound like one cohesive statement.,Response,21.11.2020 10:08,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,It's kind of weird how the text changes below as I am reading it.,General Comment,21.11.2020 10:08,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,LOL.,Emoticon/Non-verbal,21.11.2020 10:08,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,The past or the low-tech cultures she is studying.,Content Discussion,21.11.2020 10:16,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"Yes, the future of design might be to look towards the low-energy methods of the past.",Content Discussion,21.11.2020 10:16,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13, A question this article brought up for me was is technology helping us or harming us?,Content Question,21.11.2020 10:16,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,Sure!,Response,21.11.2020 10:18,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,I think it looks good! ,Feedback,21.11.2020 10:21,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"If we are done, I think we just type SUBMITTED"" at the top as the title.""",Assignment Instructions,21.11.2020 10:21,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,I think this was a pretty cool little assignment. :),General Comment,21.11.2020 10:22,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,"Yes, thank you both!",Discussion Wrap-up,21.11.2020 10:22,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,dig-13,Good luck with the rest of the class. :),Discussion Wrap-up,21.11.2020 10:23,No,11,21
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Two,dig-14,2. Prototypes for the future need to involve both sustainable energies ...,Content Discussion,18.11.2020 17:17,No,11,22
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Two,dig-14," As the pandemic has changed so many aspects of life, design perspective must change along with it.",Content Discussion,18.11.2020 17:17,No,11,22
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Two,dig-14,1. The article relates to the design perspective because design is always needing to evolve with the world around us.,Content Discussion,18.11.2020 17:17,No,11,22
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Two,dig-14,...and potentially designs that may reverse the current damages we are doing.,Content Discussion,18.11.2020 17:17,No,11,22
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Two,dig-14,"With the way things are going, the environment must be a huge factor in considering design for a resilient future.",Content Discussion,18.11.2020 17:17,No,11,22
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16,"The article discusses how design has influenced the way we live, ...",Content Discussion,24.11.2020 19:16,No,11,23
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16,"The design perspective is looking at a situation with an artful and detailed eye, ultimately coming up with a design that will be aesthetically pleasing and as ergonomic as possible.",Content Discussion,24.11.2020 19:16,No,11,23
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16,I think potentially the question is supposed to read How does the article content relate to the design perspective?,Assignment Instructions,24.11.2020 19:16,No,11,23
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16, Covid-19 is used as example to illustrate how designers must adapt and rework traditional ideas to meet the current needs of a population.,Content Discussion,24.11.2020 19:16,No,11,23
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16,...but also how the world events have also changed and influenced design as well.,Content Discussion,24.11.2020 19:16,No,11,23
DigStorytelling P2,267,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club Three,dig-16," but also should should be forced to safety handle their waste, which also means accepting their packaging back that they recycle at their own cost.",Content Discussion,24.11.2020 19:21,No,11,23
